slice,dsc,surface_dsc,precision,recall
case_00000_slice000.npy,,,0.0,0.0
case_00000_slice001.npy,,,0.0,0.0
case_00000_slice002.npy,,,0.0,0.0
case_00000_slice003.npy,,,0.0,0.0
case_00000_slice004.npy,,,0.0,0.0
case_00000_slice005.npy,,,0.0,0.0
case_00000_slice006.npy,,,0.0,0.0
case_00000_slice007.npy,,,0.0,0.0
case_00000_slice008.npy,,,0.0,0.0
case_00000_slice009.npy,,,0.0,0.0
case_00000_slice010.npy,,,0.0,0.0
case_00000_slice011.npy,,,0.0,0.0
case_00000_slice012.npy,,,0.0,0.0
case_00000_slice013.npy,,,0.0,0.0
case_00000_slice014.npy,,,0.0,0.0
case_00000_slice015.npy,,,0.0,0.0
case_00000_slice016.npy,,,0.0,0.0
case_00000_slice017.npy,,,0.0,0.0
case_00000_slice018.npy,,,0.0,0.0
case_00000_slice019.npy,,,0.0,0.0
case_00000_slice020.npy,,,0.0,0.0
case_00000_slice021.npy,,,0.0,0.0
case_00000_slice022.npy,,,0.0,0.0
case_00000_slice023.npy,,,0.0,0.0
case_00000_slice024.npy,,,0.0,0.0
case_00000_slice025.npy,,,0.0,0.0
case_00000_slice026.npy,,,0.0,0.0
case_00000_slice027.npy,,,0.0,0.0
case_00000_slice028.npy,,,0.0,0.0
case_00000_slice029.npy,,,0.0,0.0
case_00000_slice030.npy,,,0.0,0.0
case_00000_slice031.npy,,,0.0,0.0
case_00000_slice032.npy,,,0.0,0.0
case_00000_slice033.npy,,,0.0,0.0
case_00000_slice034.npy,,,0.0,0.0
case_00000_slice035.npy,,,0.0,0.0
case_00000_slice036.npy,,,0.0,0.0
case_00000_slice037.npy,,,0.0,0.0
case_00000_slice038.npy,,,0.0,0.0
case_00000_slice039.npy,,,0.0,0.0
case_00000_slice040.npy,,,0.0,0.0
case_00000_slice041.npy,,,0.0,0.0
case_00000_slice042.npy,,,0.0,0.0
case_00000_slice043.npy,,,0.0,0.0
case_00000_slice044.npy,,,0.0,0.0
case_00000_slice045.npy,,,0.0,0.0
case_00000_slice046.npy,,,0.0,0.0
case_00000_slice047.npy,,,0.0,0.0
case_00000_slice048.npy,,,0.0,0.0
case_00000_slice049.npy,,,0.0,0.0
case_00000_slice050.npy,,,0.0,0.0
case_00000_slice051.npy,,,0.0,0.0
case_00000_slice052.npy,,,0.0,0.0
case_00000_slice053.npy,,,0.0,0.0
case_00000_slice054.npy,,,0.0,0.0
case_00000_slice055.npy,,,0.0,0.0
case_00000_slice056.npy,,,0.0,0.0
case_00000_slice057.npy,,,0.0,0.0
case_00000_slice058.npy,,,0.0,0.0
case_00000_slice059.npy,,,0.0,0.0
case_00000_slice060.npy,,,0.0,0.0
case_00000_slice061.npy,,,0.0,0.0
case_00000_slice062.npy,,,0.0,0.0
case_00000_slice063.npy,,,0.0,0.0
case_00000_slice064.npy,,,0.0,0.0
case_00000_slice065.npy,,,0.0,0.0
case_00000_slice066.npy,,,0.0,0.0
case_00000_slice067.npy,,,0.0,0.0
case_00000_slice068.npy,,,0.0,0.0
case_00000_slice069.npy,,,0.0,0.0
case_00000_slice070.npy,,,0.0,0.0
case_00000_slice071.npy,,,0.0,0.0
case_00000_slice072.npy,,,0.0,0.0
case_00000_slice073.npy,,,0.0,0.0
case_00000_slice074.npy,,,0.0,0.0
case_00000_slice075.npy,,,0.0,0.0
case_00000_slice076.npy,,,0.0,0.0
case_00000_slice077.npy,,,0.0,0.0
case_00000_slice078.npy,,,0.0,0.0
case_00000_slice079.npy,,,0.0,0.0
case_00000_slice080.npy,,,0.0,0.0
case_00000_slice081.npy,,,0.0,0.0
case_00000_slice082.npy,,,0.0,0.0
case_00000_slice083.npy,,,0.0,0.0
case_00000_slice084.npy,,,0.0,0.0
case_00000_slice085.npy,,,0.0,0.0
case_00000_slice086.npy,,,0.0,0.0
case_00000_slice087.npy,,,0.0,0.0
case_00000_slice088.npy,,,0.0,0.0
case_00000_slice089.npy,,,0.0,0.0
case_00000_slice090.npy,,,0.0,0.0
case_00000_slice091.npy,,,0.0,0.0
case_00000_slice092.npy,,,0.0,0.0
case_00000_slice093.npy,,,0.006666666828095913,0.006666666828095913
case_00000_slice094.npy,,,0.45614033937454224,0.45614033937454224
case_00000_slice095.npy,,,0.6889952421188354,0.6889952421188354
case_00000_slice096.npy,,,0.6880000233650208,0.6880000233650208
case_00000_slice097.npy,,,0.7827585935592651,0.7827585935592651
case_00000_slice098.npy,,,0.682191789150238,0.682191789150238
case_00000_slice099.npy,,,0.7651715278625488,0.7651715278625488
case_00000_slice100.npy,,,0.8779904246330261,0.8779904246330261
case_00000_slice101.npy,,,0.9199134111404419,0.9199134111404419
case_00000_slice102.npy,,,0.9467455744743347,0.9467455744743347
case_00000_slice103.npy,,,0.9228070378303528,0.9228070378303528
case_00000_slice104.npy,,,0.9291737079620361,0.9291737079620361
case_00000_slice105.npy,,,0.9448946714401245,0.9448946714401245
case_00000_slice106.npy,,,0.9449541568756104,0.9449541568756104
case_00000_slice107.npy,,,0.9486448168754578,0.9486448168754578
case_00000_slice108.npy,,,0.9470198750495911,0.9470198750495911
case_00000_slice109.npy,,,0.9605095386505127,0.9605095386505127
case_00000_slice110.npy,,,0.9700748324394226,0.9700748324394226
case_00000_slice111.npy,,,0.969519317150116,0.969519317150116
case_00000_slice112.npy,,,0.9797297120094299,0.9797297120094299
case_00000_slice113.npy,,,0.9676070809364319,0.9676070809364319
case_00000_slice114.npy,,,0.9826707243919373,0.9826707243919373
case_00000_slice115.npy,,,0.9793915748596191,0.9793915748596191
case_00000_slice116.npy,,,0.9886040091514587,0.9886040091514587
case_00000_slice117.npy,,,0.9883512258529663,0.9883512258529663
case_00000_slice118.npy,,,0.9700499176979065,0.9700499176979065
case_00000_slice119.npy,,,0.9763265252113342,0.9763265252113342
case_00000_slice120.npy,,,0.975239634513855,0.975239634513855
case_00000_slice121.npy,,,0.9782777428627014,0.9782777428627014
case_00000_slice122.npy,,,0.9779802560806274,0.9779802560806274
case_00000_slice123.npy,,,0.9717596173286438,0.9717596173286438
case_00000_slice124.npy,,,0.9799138903617859,0.9799138903617859
case_00000_slice125.npy,,,0.98123699426651,0.98123699426651
case_00000_slice126.npy,,,0.9819155931472778,0.9819155931472778
case_00000_slice127.npy,,,0.982039749622345,0.982039749622345
case_00000_slice128.npy,,,0.9763492941856384,0.9763492941856384
case_00000_slice129.npy,,,0.9867469668388367,0.9867469668388367
case_00000_slice130.npy,,,0.9809863567352295,0.9809863567352295
case_00000_slice131.npy,,,0.9747995138168335,0.9747995138168335
case_00000_slice132.npy,,,0.9672222137451172,0.9672222137451172
case_00000_slice133.npy,,,0.9512969851493835,0.9512969851493835
case_00000_slice134.npy,,,0.9580052495002747,0.9580052495002747
case_00000_slice135.npy,,,0.9603960514068604,0.9603960514068604
case_00000_slice136.npy,,,0.9636642932891846,0.9636642932891846
case_00000_slice137.npy,,,0.9672048687934875,0.9672048687934875
case_00000_slice138.npy,,,0.9518999457359314,0.9518999457359314
case_00000_slice139.npy,,,0.955407977104187,0.955407977104187
case_00000_slice140.npy,,,0.9459084868431091,0.9459084868431091
case_00000_slice141.npy,,,0.9373601675033569,0.9373601675033569
case_00000_slice142.npy,,,0.9554030895233154,0.9554030895233154
case_00000_slice143.npy,,,0.9407708048820496,0.9407708048820496
case_00000_slice144.npy,,,0.9518591165542603,0.9518591165542603
case_00000_slice145.npy,,,0.9675800800323486,0.9675800800323486
case_00000_slice146.npy,,,0.9800901412963867,0.9800901412963867
case_00000_slice147.npy,,,0.9803779125213623,0.9803779125213623
case_00000_slice148.npy,,,0.9762486815452576,0.9762486815452576
case_00000_slice149.npy,,,0.9738021492958069,0.9738021492958069
